Customer ID,SeniorCitizen_Status,Contract,Churn,Payment Method,MonthlyCharges_Clean,Tenure,TotalCharges_Clean
0002-ORFBO,No,One year,No,Mailed check,0,9,593
0003-MKNFE,No,Month-to-month,No,Mailed check,0,9,542
0004-TLHLJ,No,Month-to-month,Yes,Electronic check,0,4,280
0011-IGKFF,Yes,Month-to-month,Yes,Electronic check,98,13,"1,237"
0013-EXCHZ,Yes,Month-to-month,Yes,Mailed check,0,3,267
0013-MHZWF,No,Month-to-month,No,Credit card (automatic),0,9,571
0013-SMEOE,Yes,Two year,No,Bank transfer (automatic),0,71,"7,904"
0014-BMAQU,No,Two year,No,Credit card (automatic),0,63,"5,377"
0015-UOCOJ,Yes,Month-to-month,No,Electronic check,0,7,340
0016-QLJIS,No,Two year,No,Mailed check,0,65,"5,957"
0017-DINOC,No,Two year,No,Credit card (automatic),0,54,"2,460"
0017-IUDMW,No,Two year,No,Credit card (automatic),0,72,"8,456"
0018-NYROU,No,Month-to-month,No,Electronic check,0,5,351
0019-EFAEP,No,Two year,No,Bank transfer (automatic),0,72,"7,261"
0019-GFNTW,No,Two year,No,Bank transfer (automatic),0,56,"2,560"
0020-INWCK,No,Two year,No,Credit card (automatic),0,71,"6,849"
0020-JDNXP,No,One year,No,Mailed check,0,34,"1,993"
0021-IKXGC,Yes,Month-to-month,No,Electronic check,0,1,72
0022-TCJCI,Yes,One year,Yes,Credit card (automatic),0,45,"2,791"
0023-HGHWL,Yes,Month-to-month,Yes,Electronic check,0,1,25
0023-UYUPN,Yes,One year,No,Electronic check,0,50,"1,306"
0023-XUOPT,No,Month-to-month,Yes,Electronic check,0,13,"1,215"
0027-KWYKW,No,Month-to-month,No,Electronic check,0,23,"1,849"
0030-FNXPP,No,Month-to-month,No,Mailed check,0,3,57
0031-PVLZI,No,Month-to-month,Yes,Mailed check,0,4,76
0032-PGELS,No,Month-to-month,Yes,Bank transfer (automatic),0,1,30
0036-IHMOT,No,One year,No,Bank transfer (automatic),0,55,"5,656"
0040-HALCW,No,Two year,No,Credit card (automatic),0,54,"1,090"
0042-JVWOJ,No,One year,No,Bank transfer (automatic),0,26,471
0042-RLHYP,No,Two year,No,Bank transfer (automatic),0,69,"1,396"
0048-LUMLS,No,One year,No,Credit card (automatic),0,37,"3,247"
0048-PIHNL,No,One year,No,Bank transfer (automatic),0,49,900
0052-DCKON,No,One year,No,Bank transfer (automatic),0,66,"7,942"
0052-YNYOT,No,One year,No,Electronic check,0,67,"1,343"
0056-EPFBG,No,Two year,No,Credit card (automatic),0,20,825
0057-QBUQH,No,Two year,No,Electronic check,0,43,"1,070"
0058-EVZWM,No,Month-to-month,No,Bank transfer (automatic),0,55,"4,959"
0060-FUALY,No,Month-to-month,No,Electronic check,0,59,"5,597"
0064-SUDOG,No,Two year,No,Bank transfer (automatic),0,12,224
0064-YIJGF,No,Month-to-month,No,Bank transfer (automatic),0,27,"1,929"
0067-DKWBL,Yes,Month-to-month,Yes,Electronic check,0,2,91
0068-FIGTF,No,One year,No,Mailed check,0,27,"2,078"
0071-NDAFP,No,Two year,No,Credit card (automatic),0,25,630
0074-HDKDG,No,One year,No,Bank transfer (automatic),0,25,"1,611"
0076-LVEPS,No,Month-to-month,No,Mailed check,45,29,"1,242"
0078-XZMHT,No,Two year,No,Bank transfer (automatic),0,72,"6,316"
0080-EMYVY,No,One year,No,Credit card (automatic),0,14,727
0080-OROZO,No,One year,No,Electronic check,0,35,"3,532"
0082-LDZUE,No,Month-to-month,No,Mailed check,0,1,44
0082-OQIQY,No,Month-to-month,No,Electronic check,0,29,"2,607"
0083-PIVIK,No,One year,No,Electronic check,0,64,"5,567"
0089-IIQKO,No,Month-to-month,No,Credit card (automatic),0,39,"3,767"
0093-EXYQL,Yes,Month-to-month,No,Electronic check,0,40,"3,673"
0093-XWZFY,No,Month-to-month,Yes,Credit card (automatic),0,40,"4,036"
0094-OIFMO,Yes,Month-to-month,Yes,Electronic check,95,11,"1,120"
0096-BXERS,No,Month-to-month,No,Electronic check,0,6,314
0096-FCPUF,No,Month-to-month,No,Mailed check,0,30,"1,888"
0098-BOWSO,No,Month-to-month,No,Electronic check,0,27,529
0100-DUVFC,Yes,One year,No,Electronic check,0,70,"7,308"
0103-CSITQ,No,One year,No,Bank transfer (automatic),0,57,"6,252"
0104-PPXDV,No,One year,No,Credit card (automatic),0,58,"2,878"
0106-GHRQR,No,Month-to-month,No,Bank transfer (automatic),0,16,"1,212"
0106-UGRDO,No,Two year,No,Electronic check,116,69,"8,182"
0107-WESLM,No,Month-to-month,Yes,Electronic check,0,1,19
0107-YHINA,No,Month-to-month,Yes,Electronic check,0,1,99
0111-KLBQG,Yes,Month-to-month,No,Mailed check,0,32,"2,861"
0112-QAWRZ,No,Month-to-month,No,Bank transfer (automatic),0,16,"1,442"
0112-QWPNC,No,One year,Yes,Electronic check,0,49,"4,059"
0114-IGABW,No,Two year,No,Bank transfer (automatic),0,71,"4,145"
0114-PEGZZ,No,Month-to-month,No,Electronic check,0,33,"3,645"
0114-RSRRW,No,Month-to-month,No,Bank transfer (automatic),0,10,187
0115-TFERT,No,Month-to-month,Yes,Electronic check,0,21,"2,317"
0117-LFRMW,No,Month-to-month,Yes,Bank transfer (automatic),0,37,"1,448"
0118-JPNOY,Yes,Month-to-month,No,Credit card (automatic),0,26,"2,193"
0121-SNYRK,No,One year,No,Mailed check,0,50,"1,748"
0122-OAHPZ,No,Month-to-month,Yes,Electronic check,0,7,511
0123-CRBRT,No,Two year,No,Mailed check,0,61,"5,526"
0125-LZQXK,No,Month-to-month,Yes,Electronic check,0,15,"1,553"
0128-MKWSG,No,Month-to-month,No,Mailed check,0,26,"1,147"
0129-KPTWJ,No,Month-to-month,No,Electronic check,0,72,"6,747"
0129-QMPDR,No,One year,No,Bank transfer (automatic),0,44,865
0130-SXOUN,No,Month-to-month,No,Credit card (automatic),0,66,"5,976"
0133-BMFZO,No,Month-to-month,Yes,Electronic check,0,2,181
0134-XWXCE,Yes,One year,No,Bank transfer (automatic),0,44,"3,268"
0135-NMXAP,No,Month-to-month,Yes,Bank transfer (automatic),0,12,"1,052"
0136-IFMYD,Yes,Two year,No,Electronic check,0,69,"7,634"
0137-OCGAB,No,Month-to-month,Yes,Mailed check,0,1,80
0137-UDEUO,No,Month-to-month,Yes,Mailed check,0,3,63
0139-IVFJG,No,Month-to-month,No,Electronic check,0,2,190
0141-YEAYS,Yes,Month-to-month,No,Bank transfer (automatic),0,27,"2,401"
0142-GVYSN,No,Month-to-month,No,Electronic check,0,26,511
0147-ESWWR,Yes,Month-to-month,No,Electronic check,0,39,"3,949"
0148-DCDOS,No,Month-to-month,Yes,Bank transfer (automatic),0,25,"2,362"
0151-ONTOV,No,Month-to-month,Yes,Mailed check,0,1,70
0156-FVPTA,No,Month-to-month,Yes,Electronic check,0,22,"1,152"
0164-APGRB,No,Two year,No,Electronic check,0,72,"8,496"
0164-XAIRP,No,Two year,No,Bank transfer (automatic),0,24,470
0168-XZKBB,No,Month-to-month,No,Electronic check,0,19,"1,564"
0174-QRVVY,No,Two year,No,Credit card (automatic),0,71,"1,847"
0177-PXBAT,Yes,Month-to-month,No,Bank transfer (automatic),0,33,"3,694"
0178-CIIKR,No,Month-to-month,No,Mailed check,0,3,58
0178-SZBHO,No,Month-to-month,No,Electronic check,0,47,"4,017"
0181-RITDD,No,Two year,No,Mailed check,0,62,"6,825"
0186-CAERR,No,One year,No,Bank transfer (automatic),0,71,"8,309"
0187-QSXOE,Yes,Month-to-month,No,Electronic check,89,7,605
0187-WZNAB,No,Month-to-month,No,Mailed check,0,27,"1,972"
0188-GWFLE,No,Month-to-month,No,Mailed check,0,2,33
0191-EQUUH,No,Two year,No,Bank transfer (automatic),0,25,844
0191-ZHSKZ,Yes,Month-to-month,No,Electronic check,0,30,"2,111"
0193-ESZXP,Yes,One year,Yes,Credit card (automatic),0,58,"6,205"
0195-IESCP,No,Month-to-month,Yes,Electronic check,0,10,855
0196-JTUQI,No,Month-to-month,No,Credit card (automatic),0,9,633
0196-VULGZ,Yes,Month-to-month,Yes,Electronic check,0,6,474
0197-PNKNK,No,One year,No,Bank transfer (automatic),0,69,"5,848"
0201-MIBOL,Yes,Two year,No,Bank transfer (automatic),0,66,"6,471"
0201-OAMXR,No,One year,Yes,Credit card (automatic),0,70,"8,127"
0203-HHYIJ,No,One year,Yes,Bank transfer (automatic),0,25,676
0206-OYVOC,No,Two year,No,Mailed check,0,46,864
0206-TBWLC,No,One year,No,Mailed check,0,54,"6,049"
0207-MDKNV,No,Month-to-month,Yes,Electronic check,0,15,"1,582"
0208-BPQEJ,No,Month-to-month,No,Bank transfer (automatic),0,12,198
0212-ISBBF,No,Month-to-month,No,Electronic check,0,22,"1,098"
0214-JHPFW,No,Two year,No,Bank transfer (automatic),0,70,"4,039"
0215-BQKGS,No,Month-to-month,No,Credit card (automatic),0,30,"2,438"
0218-QNVAS,No,One year,No,Bank transfer (automatic),0,71,"7,113"
0219-QAERP,No,One year,No,Credit card (automatic),0,30,576
0219-YTZUE,No,Month-to-month,Yes,Bank transfer (automatic),0,4,371
0220-EBGCE,No,Month-to-month,Yes,Electronic check,0,2,167
0221-NAUXK,No,One year,No,Bank transfer (automatic),0,10,219
0221-WMXNQ,Yes,Month-to-month,No,Electronic check,0,4,273
0222-CNVPT,Yes,Month-to-month,No,Credit card (automatic),0,52,"2,555"
0224-HJAPT,No,Month-to-month,Yes,Electronic check,0,5,223
0224-NIJLP,No,Two year,No,Mailed check,0,8,165
0224-RLWWD,Yes,Month-to-month,No,Electronic check,0,2,89
0225-ZORZP,No,Month-to-month,No,Electronic check,0,3,235
0228-MAUWC,No,Month-to-month,No,Electronic check,0,19,"1,144"
0229-LFJAF,No,Two year,No,Bank transfer (automatic),0,72,"4,908"
0230-UBYPQ,Yes,One year,No,Bank transfer (automatic),0,63,"2,298"
0230-WEQUW,No,Two year,No,Bank transfer (automatic),0,66,"3,789"
0231-LXVAP,No,Month-to-month,Yes,Electronic check,0,1,75
0233-FTHAV,No,One year,No,Bank transfer (automatic),0,60,"4,765"
0234-TEVTT,No,One year,No,Credit card (automatic),45,48,"2,196"
0235-KGSLC,No,Month-to-month,Yes,Credit card (automatic),0,1,85
0236-HFWSV,No,Month-to-month,Yes,Electronic check,0,15,"1,444"
0237-YFUTL,No,Month-to-month,No,Bank transfer (automatic),0,50,"5,405"
0238-WHBIQ,No,Two year,No,Credit card (automatic),0,72,"6,339"
0239-OXEXL,No,Month-to-month,No,Mailed check,0,46,"3,847"
0244-LGNFY,No,Two year,No,Bank transfer (automatic),0,72,"6,733"
0247-SLUJI,No,Month-to-month,No,Mailed check,0,1,19
0248-IPDFW,No,Month-to-month,No,Electronic check,0,1,50
0248-PGHBZ,Yes,Two year,No,Bank transfer (automatic),0,67,"6,140"
0253-ZTEOB,No,Two year,No,Electronic check,0,48,"3,870"
0254-FNMCI,No,Two year,No,Electronic check,0,72,"7,624"
0254-KCJGT,No,One year,No,Credit card (automatic),0,52,"4,354"
0254-WWRKD,No,One year,No,Credit card (automatic),0,67,"3,431"
0256-LTHVJ,No,Month-to-month,Yes,Electronic check,0,28,"2,227"
0257-KXZGU,No,Month-to-month,No,Bank transfer (automatic),0,32,"2,045"
